"_id","_otableauposte_id","_oexerccompta_id","_ocompte_id","_oreference_id","NumCompte","IntitulCompte","SoldeDebit","SoldeCredit"
"5aee116855f90924d0b5a143","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102010","Dotation BENIN",0,44829579
"5aee116855f90924d0b5a144","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102020","Dotation BURKINA",0,65643312
"5aee116855f90924d0b5a145","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102040","Dotation CENTRAFRIQUE",0,41326938
"5aee116855f90924d0b5a146","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102050","Dotation COTE D'IVOIRE",0,64842784
"5aee116855f90924d0b5a147","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102060","Dotation GABON",0,64042255
"5aee116855f90924d0b5a148","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102070","Dotation NIGER",0,41279251
"5aee116855f90924d0b5a149","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102080","Dotation TOGO",0,57203109
"5aee116855f90924d0b5a14a","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e69c","5aee0efe23b8a2227003e70b","102090","Dotation SENEGAL",0,18808451
"5aee116855f90924d0b5a14b","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e6cf","5aee0efe23b8a2227003e711","120000","Report à nouveau",0,578005041
"5aee116855f90924d0b5a14c","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e6cf","5aee0efe23b8a2227003e711","12","Report à nouveau",0,593410553
"5aee116855f90924d0b5a14d","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e699","5aee0efe23b8a2227003e713","141800","Subv Equip Etats",0,456333320
"5aee116855f90924d0b5a14e","5aee0eff23b8a2227003e7ad","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e6d0","5aee0efe23b8a2227003e718","196000","Provions  Pensions & Obligations",0,118757127
"5aee116855f90924d0b5a14f","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e631","5aee0efe23b8a2227003e6f1","212100","Licence Pédagogique",40973760,0
"5aee116855f90924d0b5a150","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e632","5aee0efe23b8a2227003e6f1","213100","Logiciels Administration",4825000,0
"5aee116855f90924d0b5a151","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e632","5aee0efe23b8a2227003e6f1","213200","Logiciels Pédagogie",574000,0
"5aee116855f90924d0b5a152","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e634","5aee0efe23b8a2227003e6f1","219311","Logiciel Encours",1225000,0
"5aee116855f90924d0b5a153","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e61e","5aee0efe23b8a2227003e6f4","220100","Terrains",124848000,0
"5aee116855f90924d0b5a154","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e61f","5aee0efe23b8a2227003e6f5","231300","Constructions & Immeubles",264417240,0
"5aee116855f90924d0b5a155","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e625","5aee0efe23b8a2227003e6f6","235100","Amenagement de Bureau",6965000,0
"5aee116855f90924d0b5a156","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e626","5aee0efe23b8a2227003e6f6","238000","Autres Aménag. Instal.",65869007,0
"5aee116855f90924d0b5a157","5aee0eff23b8a2227003e7aa","5aee0f0023b8a2227003e7b0","5aee0efd23b8a2227003e627","5aee0efe23b8a2227003e6f5","239200","Bâtiments & Installations encours",25000000,0
