"_id","_nttcomptebalance_id","NumCompte","IntitulCompte","SoldeDebit","SoldeCredit"
"5aee118f6649f321ec7b0614","5aee117f5058311d84641b3c","102010","Dotation BENIN",0,44829579
"5aee118f6649f321ec7b0615","5aee117f5058311d84641b3c","102020","Dotation BURKINA",0,65643312
"5aee118f6649f321ec7b0616","5aee117f5058311d84641b3c","102040","Dotation CENTRAFRIQUE",0,41326938
"5aee118f6649f321ec7b0617","5aee117f5058311d84641b3c","102050","Dotation COTE D'IVOIRE",0,64842784
"5aee118f6649f321ec7b0618","5aee117f5058311d84641b3c","102060","Dotation GABON",0,64042255
"5aee118f6649f321ec7b0619","5aee117f5058311d84641b3c","102070","Dotation NIGER",0,41279251
"5aee118f6649f321ec7b061a","5aee117f5058311d84641b3c","102080","Dotation TOGO",0,57203109
"5aee118f6649f321ec7b061b","5aee117f5058311d84641b3c","102090","Dotation SENEGAL",0,18808451
"5aee118f6649f321ec7b061c","5aee117f5058311d84641b3d","120000","Report à nouveau",0,578005041
"5aee118f6649f321ec7b061d","5aee117f5058311d84641b3d","12","Report à nouveau",0,593410553
"5aee118f6649f321ec7b061e","5aee117f5058311d84641b3e","141800","Subv Equip Etats",0,456333320
"5aee118f6649f321ec7b061f","5aee117f5058311d84641b3f","196000","Provions  Pensions & Obligations",0,118757127
"5aee118f6649f321ec7b0620","5aee117f5058311d84641b40","212100","Licence Pédagogique",40973760,0
"5aee118f6649f321ec7b0621","5aee117f5058311d84641b40","213100","Logiciels Administration",4825000,0
"5aee118f6649f321ec7b0622","5aee117f5058311d84641b40","213200","Logiciels Pédagogie",574000,0
"5aee118f6649f321ec7b0623","5aee117f5058311d84641b40","219311","Logiciel Encours",1225000,0
"5aee118f6649f321ec7b0624","5aee117f5058311d84641b41","220100","Terrains",124848000,0
"5aee118f6649f321ec7b0625","5aee117f5058311d84641b42","231300","Constructions & Immeubles",264417240,0
"5aee118f6649f321ec7b0626","5aee117f5058311d84641b43","235100","Amenagement de Bureau",6965000,0
"5aee118f6649f321ec7b0627","5aee117f5058311d84641b43","238000","Autres Aménag. Instal.",65869007,0
"5aee118f6649f321ec7b0628","5aee117f5058311d84641b42","239200","Bâtiments & Installations encours",25000000,0
"5aee118f6649f321ec7b0629","5aee117f5058311d84641b44","244100","Matériel de Bureau",9640532,0
"5aee118f6649f321ec7b062a","5aee117f5058311d84641b44","244200","Matériel Informatique",58665248,0
"5aee118f6649f321ec7b062b","5aee117f5058311d84641b44","244300","Matériel Bureautique",3671422,0
"5aee118f6649f321ec7b062c","5aee117f5058311d84641b44","244400","Mobilier de Bureau",24932695,0
"5aee118f6649f321ec7b062d","5aee117f5058311d84641b44","244700","Mobilier de Logement",1764000,0
"5aee118f6649f321ec7b062e","5aee117f5058311d84641b44","244810","Mobilier Pédagogique",27553226,0
"5aee118f6649f321ec7b062f","5aee117f5058311d84641b44","244820","Matériel Pédagogique",6000570,0
