"_id","_nttcomptebalance_id","NumCompte","IntitulCompte","SoldeDebit","SoldeCredit"
"5ad3c2b8dcc79711b057bc34",,"102010","Dotation BENIN",0,44829579
"5ad3c2b8dcc79711b057bc35",,"102020","Dotation BURKINA",0,65643312
"5ad3c2b8dcc79711b057bc36",,"102040","Dotation CENTRAFRIQUE",0,41326938
"5ad3c2b8dcc79711b057bc37",,"102050","Dotation COTE D'IVOIRE",0,64842784
"5ad3c2b8dcc79711b057bc38",,"102060","Dotation GABON",0,64042255
"5ad3c2b8dcc79711b057bc39",,"102070","Dotation NIGER",0,41279251
"5ad3c2b8dcc79711b057bc3a",,"102080","Dotation TOGO",0,57203109
"5ad3c2b8dcc79711b057bc3b",,"102090","Dotation SENEGAL",0,18808451
"5ad3c2b8dcc79711b057bc3c",,"120000","Report à nouveau",0,578005041
"5ad3c2b8dcc79711b057bc3d",,"12","Report à nouveau",0,593410553
"5ad3c2b8dcc79711b057bc3e",,"141800","Subv Equip Etats",0,456333320
"5ad3c2b8dcc79711b057bc3f",,"196000","Provions  Pensions & Obligations",0,118757127
"5ad3c2b8dcc79711b057bc40",,"212100","Licence Pédagogique",40973760,0
"5ad3c2b8dcc79711b057bc41",,"213100","Logiciels Administration",4825000,0
"5ad3c2b8dcc79711b057bc42",,"213200","Logiciels Pédagogie",574000,0
"5ad3c2b8dcc79711b057bc43",,"219311","Logiciel Encours",1225000,0
"5ad3c2b8dcc79711b057bc44",,"220100","Terrains",124848000,0
"5ad3c2b8dcc79711b057bc45",,"231300","Constructions & Immeubles",264417240,0
"5ad3c2b8dcc79711b057bc46",,"235100","Amenagement de Bureau",6965000,0
"5ad3c2b8dcc79711b057bc47",,"238000","Autres Aménag. Instal.",65869007,0
"5ad3c2b8dcc79711b057bc48",,"239200","Bâtiments & Installations encours",25000000,0
"5ad3c2b8dcc79711b057bc49",,"244100","Matériel de Bureau",9640532,0
"5ad3c2b8dcc79711b057bc4a",,"244200","Matériel Informatique",58665248,0
"5ad3c2b8dcc79711b057bc4b",,"244300","Matériel Bureautique",3671422,0
"5ad3c2b8dcc79711b057bc4c",,"244400","Mobilier de Bureau",24932695,0
"5ad3c2b8dcc79711b057bc4d",,"244700","Mobilier de Logement",1764000,0
"5ad3c2b8dcc79711b057bc4e",,"244810","Mobilier Pédagogique",27553226,0
"5ad3c2b8dcc79711b057bc4f",,"244820","Matériel Pédagogique",6000570,0
"5ad3c2b8dcc79711b057bc50",,"244830","Matériel Médical",452000,0
"5ad3c2b8dcc79711b057bc51",,"245100","Matériel de Transport",63965684,0
"5ad3c2b8dcc79711b057bc52",,"249460","Matériel Bureautique",58800,0
"5ad3c2b8dcc79711b057bc53",,"275200","Dépôts & Caut, CEET",248000,0
"5ad3c2b8dcc79711b057bc54",,"275300","Dépôts & Caut, INTERNET",60000,0
"5ad3c2b8dcc79711b057bc55",,"275400","Dépôts & Caut,TELECOM",200000,0
"5ad3c2b8dcc79711b057bc56",,"281300","Amortis Logiciel Admini",0,3910250
"5ad3c2b8dcc79711b057bc57",,"281400","Amortis. Logiciel Pédagogique",0,334000
"5ad3c2b8dcc79711b057bc58",,"283130","Amort Contruc. & Immeubles",0,213244238
"5ad3c2b8dcc79711b057bc59",,"283510","Amort Amén. Bureau",0,4083834
"5ad3c2b8dcc79711b057bc5a",,"283800","Amort. Autre Amén. Instal",0,39157409
"5ad3c2b8dcc79711b057bc5b",,"284410","Amort Matériel Bureau",0,6011615
"5ad3c2b8dcc79711b057bc5c",,"284420","Amort Mat. Informatique",0,28077592
"5ad3c2b8dcc79711b057bc5d",,"284430","Amort. Mat. Bureautique",0,2864994
"5ad3c2b8dcc79711b057bc5e",,"284440","Amort Mobilier Bureau",0,11239459
"5ad3c2b8dcc79711b057bc5f",,"284470","Amort. Mobilier Logement",0,1215650
"5ad3c2b8dcc79711b057bc60",,"284481","Amort. Mob. Pédagogique",0,22509120
"5ad3c2b8dcc79711b057bc61",,"284482","Amort Mat. Pédagogique",0,4986737
"5ad3c2b8dcc79711b057bc62",,"284483","Amort Mat. Médical",0,151000
"5ad3c2b8dcc79711b057bc63",,"284500","Amort. Matériel Transport",0,38899905
"5ad3c2b8dcc79711b057bc64",,"401000","FOURN DETTES EN CPTE",0,10498956
