"otableauposte_id","TableauName","tableauLongName","ostableauposte_id","StableauName","StbleauLongName","ostblarea_id","AreaShortName","AreaLongName","oreference_id","RefCode","Description","fullDescription","ocompte_id","CompteNumber","Taux","Exception"
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f0","AE","Frais de recherche et de développement","AE-Frais de recherche et de développement","5aee0efd23b8a2227003e5f8","2811",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e5f9","2812",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e5fa","2813",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e5fb","2814",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f2","AG","Fonds commercial","AG-Fonds commercial","5aee0efd23b8a2227003e5fc","2815",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f2","AG","Fonds commercial","AG-Fonds commercial","5aee0efd23b8a2227003e5fd","2816",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f3","AH","Autres immobilisations incorporelles","AH-Autres immobilisations incorporelles","5aee0efd23b8a2227003e5fe","2817",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f3","AH","Autres immobilisations incorporelles","AH-Autres immobilisations incorporelles","5aee0efd23b8a2227003e5ff","2818",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f4","AJ","Terrains","AJ-Terrains","5aee0efd23b8a2227003e600","282",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e601","2831",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e602","2832",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e603","2833",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e604","2837",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f6","AL","Installations et agencements","AL-Installations et agencements","5aee0efd23b8a2227003e605","283",1,true
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f7","AM","Matériel","AM-Matériel","5aee0efd23b8a2227003e606","284",1,true
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a2","tblAmortImmo","Amortissements","5aee0efe23b8a2227003e776","AmortImmo","AmortImmo","5aee0efe23b8a2227003e6f8","AN","Matériel de transport","AN-Matériel de transport","5aee0efd23b8a2227003e607","2845",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e775","ActifCircul","ActifCircul","5aee0efe23b8a2227003e6ff","BA","Actif circulant h.a.o.","BA-Actif circulant h.a.o.","5aee0efd23b8a2227003e608","485",1,false
